date,instrument_id,instrument_description,asset_class,price,yield_pct,spread_bps,implied_vol_pct,px_bid,px_ask,px_mid,price_type,source,last_update_utc
2026-07-21,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4755,,,0.4754,0.4756,0.4755,PAR_RATE,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4717,,,0.4716,0.4718,0.4717,PAR_RATE,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4693,,,0.4692,0.4694,0.4693,PAR_RATE,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4938,,,0.4937,0.4939,0.4938,PAR_RATE,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5012,,,0.5011,0.5013,0.5012,PAR_RATE,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5008,,,0.5007,0.5009,0.5008,PAR_RATE,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5123,,,0.5122,0.5124,0.5123,PAR_RATE,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5117,,,0.5116,0.5118,0.5117,PAR_RATE,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5049,,,0.5048,0.505,0.5049,PAR_RATE,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5237,,,0.5236,0.5238,0.5237,PAR_RATE,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5261,,,0.526,0.5262,0.5261,PAR_RATE,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.5415,,,0.5414,0.5416,0.5415,PAR_RATE,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.88,,,0.8798,0.8802,0.88,PAR_RATE,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8659,,,0.8657,0.8661,0.8659,PAR_RATE,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8624,,,0.8622,0.8626,0.8624,PAR_RATE,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8524,,,0.8522,0.8526,0.8524,PAR_RATE,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8473,,,0.8471,0.8475,0.8473,PAR_RATE,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8429,,,0.8427,0.8431,0.8429,PAR_RATE,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8552,,,0.855,0.8554,0.8552,PAR_RATE,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8425,,,0.8423,0.8427,0.8425,PAR_RATE,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8527,,,0.8525,0.8529,0.8527,PAR_RATE,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8669,,,0.8667,0.8671,0.8669,PAR_RATE,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.862,,,0.8618,0.8622,0.862,PAR_RATE,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8788,,,0.8786,0.879,0.8788,PAR_RATE,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8845,,,0.8843,0.8847,0.8845,PAR_RATE,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.8919,,,0.8917,0.8921,0.8919,PAR_RATE,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9124,,,0.9122,0.9126,0.9124,PAR_RATE,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9264,,,0.9262,0.9266,0.9264,PAR_RATE,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9285,,,0.9283,0.9287,0.9285,PAR_RATE,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9331,,,0.9329,0.9333,0.9331,PAR_RATE,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.944,,,0.9438,0.9442,0.944,PAR_RATE,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9491,,,0.9489,0.9493,0.9491,PAR_RATE,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9505,,,0.9503,0.9507,0.9505,PAR_RATE,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9583,,,0.9581,0.9585,0.9583,PAR_RATE,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9854,,,0.9852,0.9856,0.9854,PAR_RATE,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,JPY-IRS-5Y,JPY IRS 5Y,RATES,,0.9854,,,0.9852,0.9856,0.9854,PAR_RATE,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.34,,,1.3397,1.3403,1.34,PAR_RATE,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3436,,,1.3433,1.3439,1.3436,PAR_RATE,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3478,,,1.3475,1.3481,1.3478,PAR_RATE,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.353,,,1.3527,1.3533,1.353,PAR_RATE,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3574,,,1.3571,1.3577,1.3574,PAR_RATE,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3677,,,1.3674,1.368,1.3677,PAR_RATE,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.372,,,1.3717,1.3723,1.372,PAR_RATE,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3845,,,1.3842,1.3848,1.3845,PAR_RATE,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4036,,,1.4033,1.4039,1.4036,PAR_RATE,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4069,,,1.4066,1.4072,1.4069,PAR_RATE,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4094,,,1.4091,1.4097,1.4094,PAR_RATE,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.42,,,1.4197,1.4203,1.42,PAR_RATE,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4173,,,1.417,1.4176,1.4173,PAR_RATE,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4099,,,1.4096,1.4102,1.4099,PAR_RATE,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4201,,,1.4198,1.4204,1.4201,PAR_RATE,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.413,,,1.4127,1.4133,1.413,PAR_RATE,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.3935,,,1.3932,1.3938,1.3935,PAR_RATE,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4071,,,1.4068,1.4074,1.4071,PAR_RATE,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4105,,,1.4102,1.4108,1.4105,PAR_RATE,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4235,,,1.4232,1.4238,1.4235,PAR_RATE,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.423,,,1.4227,1.4233,1.423,PAR_RATE,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4036,,,1.4033,1.4039,1.4036,PAR_RATE,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4093,,,1.409,1.4096,1.4093,PAR_RATE,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,JPY-IRS-10Y,JPY IRS 10Y,RATES,,1.4084,,,1.4081,1.4087,1.4084,PAR_RATE,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.91,,,3.9092,3.9108,3.91,PAR_RATE,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9182,,,3.9174,3.919,3.9182,PAR_RATE,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9159,,,3.9151,3.9167,3.9159,PAR_RATE,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9256,,,3.9248,3.9264,3.9256,PAR_RATE,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9096,,,3.9088,3.9104,3.9096,PAR_RATE,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9101,,,3.9093,3.9109,3.9101,PAR_RATE,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9205,,,3.9197,3.9213,3.9205,PAR_RATE,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9298,,,3.929,3.9306,3.9298,PAR_RATE,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9435,,,3.9427,3.9443,3.9435,PAR_RATE,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9405,,,3.9397,3.9413,3.9405,PAR_RATE,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9534,,,3.9526,3.9542,3.9534,PAR_RATE,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9683,,,3.9675,3.9691,3.9683,PAR_RATE,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9726,,,3.9718,3.9734,3.9726,PAR_RATE,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9905,,,3.9897,3.9913,3.9905,PAR_RATE,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.999,,,3.9982,3.9998,3.999,PAR_RATE,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.986,,,3.9852,3.9868,3.986,PAR_RATE,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9962,,,3.9954,3.997,3.9962,PAR_RATE,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9959,,,3.9951,3.9967,3.9959,PAR_RATE,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9928,,,3.992,3.9936,3.9928,PAR_RATE,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.994,,,3.9932,3.9948,3.994,PAR_RATE,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,AUD-IRS-7Y,AUD IRS 7Y,RATES,,4.0035,,,4.0027,4.0043,4.0035,PAR_RATE,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,AUD-IRS-7Y,AUD IRS 7Y,RATES,,4.0013,,,4.0005,4.0021,4.0013,PAR_RATE,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,AUD-IRS-7Y,AUD IRS 7Y,RATES,,3.9996,,,3.9988,4.0004,3.9996,PAR_RATE,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,AUD-IRS-7Y,AUD IRS 7Y,RATES,,4.0172,,,4.0164,4.018,4.0172,PAR_RATE,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0,,,99.1902,99.2298,99.21,CLEAN,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0036,,,99.1544,99.194,99.1742,CLEAN,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,JGB-0.4-2031,JGB 0.4% 2031,RATES,,2.9992,,,99.1979,99.2375,99.2177,CLEAN,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0016,,,99.1746,99.2142,99.1944,CLEAN,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.008,,,99.11,99.1496,99.1298,CLEAN,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.021,,,98.9797,99.0193,98.9995,CLEAN,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0162,,,99.0284,99.068,99.0482,CLEAN,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0098,,,99.0925,99.1321,99.1123,CLEAN,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0136,,,99.0544,99.094,99.0742,CLEAN,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0027,,,99.1629,99.2025,99.1827,CLEAN,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0204,,,98.9865,99.0261,99.0063,CLEAN,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0258,,,98.9324,98.972,98.9522,CLEAN,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0368,,,98.8226,98.8622,98.8424,CLEAN,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0545,,,98.6451,98.6845,98.6648,CLEAN,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0655,,,98.5356,98.575,98.5553,CLEAN,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0547,,,98.6435,98.6829,98.6632,CLEAN,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0597,,,98.5934,98.6328,98.6131,CLEAN,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0617,,,98.5734,98.6128,98.5931,CLEAN,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0712,,,98.4785,98.5179,98.4982,CLEAN,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0856,,,98.3341,98.3735,98.3538,CLEAN,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0905,,,98.2848,98.3242,98.3045,CLEAN,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.0881,,,98.3096,98.349,98.3293,CLEAN,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.1019,,,98.1717,98.2109,98.1913,CLEAN,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,JGB-0.4-2031,JGB 0.4% 2031,RATES,,3.1219,,,97.9716,98.0108,97.9912,CLEAN,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0,,,96.4207,96.4593,96.44,CLEAN,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0079,,,96.3412,96.3798,96.3605,CLEAN,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0061,,,96.3592,96.3978,96.3785,CLEAN,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0144,,,96.2763,96.3149,96.2956,CLEAN,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.018,,,96.2409,96.2795,96.2602,CLEAN,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0049,,,96.3713,96.4099,96.3906,CLEAN,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0031,,,96.39,96.4286,96.4093,CLEAN,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0119,,,96.3014,96.34,96.3207,CLEAN,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0019,,,96.4017,96.4403,96.421,CLEAN,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0051,,,96.3693,96.4079,96.3886,CLEAN,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.008,,,96.3409,96.3795,96.3602,CLEAN,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.012,,,96.3006,96.3392,96.3199,CLEAN,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0323,,,96.0975,96.1359,96.1167,CLEAN,PRICING_LIB,2026-07-21T09:05:00Z
2026-07-22,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0292,,,96.1286,96.167,96.1478,CLEAN,PRICING_LIB,2026-07-22T09:05:00Z
2026-07-23,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0339,,,96.0815,96.1199,96.1007,CLEAN,PRICING_LIB,2026-07-23T09:05:00Z
2026-07-24,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0304,,,96.1172,96.1556,96.1364,CLEAN,PRICING_LIB,2026-07-24T09:05:00Z
2026-07-27,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0334,,,96.0867,96.1251,96.1059,CLEAN,PRICING_LIB,2026-07-27T09:05:00Z
2026-07-28,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0491,,,95.93,95.9684,95.9492,CLEAN,PRICING_LIB,2026-07-28T09:05:00Z
2026-07-29,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0508,,,95.913,95.9514,95.9322,CLEAN,PRICING_LIB,2026-07-29T09:05:00Z
2026-07-30,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0567,,,95.854,95.8924,95.8732,CLEAN,PRICING_LIB,2026-07-30T09:05:00Z
2026-07-31,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0682,,,95.7388,95.7772,95.758,CLEAN,PRICING_LIB,2026-07-31T09:05:00Z
2026-08-03,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0764,,,95.657,95.6952,95.6761,CLEAN,PRICING_LIB,2026-08-03T09:05:00Z
2026-08-04,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0733,,,95.6884,95.7266,95.7075,CLEAN,PRICING_LIB,2026-08-04T09:05:00Z
2026-08-05,JGB-1.2-2041,JGB 1.2% 2041,RATES,,3.0625,,,95.7959,95.8343,95.8151,CLEAN,PRICING_LIB,2026-08-05T09:05:00Z
2026-07-03,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0,,,97.8604,97.8996,97.88,CLEAN,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0117,,,97.7435,97.7827,97.7631,CLEAN,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0109,,,97.7509,97.7901,97.7705,CLEAN,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.01,,,97.7607,97.7999,97.7803,CLEAN,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0166,,,97.6941,97.7331,97.7136,CLEAN,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0097,,,97.7631,97.8023,97.7827,CLEAN,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0194,,,97.667,97.706,97.6865,CLEAN,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0132,,,97.7285,97.7675,97.748,CLEAN,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0182,,,97.6786,97.7176,97.6981,CLEAN,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0189,,,97.6719,97.7109,97.6914,CLEAN,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.026,,,97.6004,97.6394,97.6199,CLEAN,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0344,,,97.516,97.555,97.5355,CLEAN,PRICING_LIB,2026-07-20T09:05:00Z
2026-07-21,ACGB-3.0-2033,ACGB 3.0% 2033,RATES,,3.0328,,,97.5327,97.5717,97.5522,CLEAN,PRICING_LIB,2026-07-21T09:05:00Z
